IPERIOD,K,YGROSS,EIND,E,CCA,CCATOT,MAT,ML,MU,FORC,TATM,TOCEAN,DAMFRAC,DAMAGES,ABATECOST,MCABATE,CPRICE,YNET,Y,I,C,CPC,RI,PERIODU,CEMUTOTPER
0,223,105.177422,35.74039568,38.34039568,0,100,851,1740,460,2.463395501,0.85,0.0068,0.0017051,0.179338022,0.00085562,2.012564224,2.012564224,104.998084,104.9972283,20.99944567,83.99778267,11.3464518,0.01819368,0.47731797,3533.58493
1,236.6764983,120.7671013,0.392109377,2.693109377,48.74576606,152.2918654,891.3318654,1740.670698,471.2893023,2.73873118,1.016341657,0.02788,0.002437763,0.294401554,7.878666024,527.6957744,527.6957744,120.4726998,112.5940338,22.51880675,90.07522702,11.47003502,0.040885306,0.480940398,3505.917312
2,252.3491393,137.8123889,0.414863444,2.451248444,49.2805579,155.9649551,880.4178345,1741.419438,485.1276828,2.702710364,1.157926422,0.052591541,0.003164273,0.436076007,8.127467603,514.5033801,514.5033801,137.3763129,129.2488453,25.84976906,103.3990763,12.51059514,0.043755742,0.509348839,3627.384449
3,278.2584886,157.785859,0.440562154,2.242762879,49.84638366,159.3081744,873.1959395,1742.26395,494.8482853,2.688377431,1.280139614,0.080224913,0.003867468,0.610231687,8.415150391,501.6407956,501.6407956,157.1756273,148.7604769,29.75209538,119.0083815,13.77575257,0.045365627,0.539591884,3728.524403
4,313.0693318,180.6481803,0.468013051,2.062960693,50.44725948,162.3670436,868.4615599,1743.175268,501.7302154,2.688915183,1.386984807,0.110222781,0.004539995,0.820141903,8.716001065,489.0997757,489.0997757,179.8280384,171.1120373,34.22240746,136.8896298,15.24968104,0.046070926,0.570113297,3799.707049
5,355.976347,206.3485767,0.496218971,1.907747634,51.08557516,165.1806834,865.3989347,1744.133425,506.6483233,2.699564656,1.481469155,0.142141832,0.005179612,1.068805569,9.010259315,476.8722813,476.8722813,205.2797711,196.2695118,39.25390237,157.0156095,16.9206188,0.046168098,0.599921683,3836.808206
6,406.469985,234.841029,0.524390498,1.773593365,51.76236044,167.7826305,863.456081,1745.124605,510.2019441,2.717039633,1.565880142,0.175625015,0.005786674,1.358948537,9.283748254,464.9504743,464.9504743,233.4820804,224.1983322,44.83966644,179.3586657,18.78065907,0.045875705,0.628453095,3839.751664
7,464.2147936,266.0909704,0.551925631,1.657470167,52.47756843,170.2016068,862.2599086,1746.139209,512.8024897,2.739088814,1.641982605,0.210381393,0.006362812,1.693086879,9.526946357,453.3267124,453.3267124,264.3978835,254.8709372,50.97418744,203.8967497,20.82508594,0.045344293,0.655430596,3810.998104
8,528.9851307,300.0768364,0.578378733,1.556785649,53.23033116,172.4622044,861.5586051,1747.170529,514.7330703,2.764179221,1.711158512,0.246171423,0.00691023,2.073599883,9.733971918,441.9935446,441.9935446,298.0032365,288.2692646,57.65385293,230.6154117,23.05163133,0.044673447,0.680755542,3754.362106
9,600.6296944,336.7891512,0.603429294,1.469319414,54.01917286,174.5854799,861.1825299,1748.213852,516.1890976,2.7912722,1.774506175,0.2827961,0.007431338,2.502794122,9.901677524,430.943706,430.943706,334.2863571,324.3846796,64.87693592,259.5077437,25.4598102,0.043927356,0.704433409,3674.203475
10,679.0505078,376.2286144,0.626854594,1.39316735,54.84218062,176.5894617,861.0176711,1749.26584,517.3059509,2.819667169,1.832910944,0.320088852,0.007928568,2.982953989,10.02891192,420.1701133,420.1701133,373.2456604,363.2167485,72.64334969,290.5733988,28.05037904,0.043146616,0.726526631,3574.92179
11,764.1892828,418.403918,0.648507312,1.326694101,55.69713779,178.4895808,860.9876361,1750.324103,518.1778413,2.848893666,1.887095922,0.357909405,0.008404269,3.516379164,10.11594589,409.6658605,409.6658605,414.8875388,404.7715929,80.95431859,323.8172743,30.82491425,0.042356471,0.74712593,3460.665482
12,856.0177225,463.3296295,0.668297781,1.26849309,56.58162676,180.2990381,861.041434,1751.38692,518.8706842,2.878637272,1.93765868,0.396139067,0.00886067,4.105410918,10.16403741,399.424214,399.424214,459.2242186,449.0601812,89.81203624,359.248145,33.78549125,0.041572302,0.766333468,3335.182122
13,954.5300862,511.0242745,0.686180181,1.217353029,57.49310764,182.029116,861.1451939,1752.453029,519.4308929,2.908689,1.985098131,0.434677058,0.00929985,4.752449318,10.17510786,389.4386086,389.4386086,506.2718252,496.0967173,99.21934347,396.8773739,36.9344426,0.040803217,0.784253306,3201.757259
14,1059.737188,561.5086561,0.702141909,1.17222988,58.42897804,183.6894447,861.2765544,1753.521498,519.8913923,2.93891085,2.029834474,0.473437585,0.009723738,5.459963093,10.15150337,379.7026434,379.7026434,556.048693,545.8971897,109.1794379,436.7177517,40.2741762,0.040054359,0.800986216,3063.206428
15,1171.661402,614.8044078,0.71619543,1.132223284,59.3866184,185.2882307,861.4208667,1754.591625,520.2757391,2.969212431,2.072224201,0.512347507,0.010134107,6.230493659,10.09582068,370.2100773,370.2100773,608.5739141,598.4780935,119.6956187,478.7824748,43.80703856,0.039328383,0.816627091,2921.897417
16,1290.332435,670.9327563,0.728372034,1.096556685,60.36342613,186.8324523,861.5686292,1755.662874,520.6009488,2.99953513,2.112571566,0.551344424,0.010532582,7.066654507,10.01078102,360.9548254,360.9548254,663.8661018,653.8553208,130.7710642,523.0842566,47.53521158,0.038626399,0.831263828,2779.788288
17,1415.78372,729.9134705,0.738717072,1.064560488,61.35684134,188.3280288,861.7137561,1756.734831,520.879442,3.02984143,2.1511375,0.590375103,0.010920646,7.971126916,9.899139632,351.9309548,351.9309548,721.9423436,712.0432039,142.4086408,569.6345632,51.46063458,0.037957976,0.844977064,2638.472213
18,1548.049333,791.7639711,0.747286292,1.035657715,62.36436599,189.7799662,861.8524134,1757.807166,521.1203868,3.030695947,2.185190757,0.629394163,0.011269138,8.922497771,9.763621746,343.1326809,343.1326809,782.8414733,773.0778516,154.6155703,618.4622813,55.5866821,0.037313769,0.857845481,2499.238665
