PERIOD,L,GA,AL,GSIG,SIGMA,PBACKTIME,COST1,ETREE,CUMETREE,RR,CPRICEBASE
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7403.0,0.076,5.115,-0.0152,0.35032002736111795,550.0,0.07410615963408262,2.6,100.0,1.0,2.0
2,7853.090847672712,0.07412355331415328,5.535714285714286,-0.015124151848075985,0.32468227884061035,536.25,0.06696572001087589,2.301,103.54609929078015,0.9282603254056397,2.2081616064
3,8264.920660350976,0.07229343626205427,5.978890926029328,-0.015048682179188174,0.30103494108661877,522.84375,0.060536245184137236,2.036385,106.68439716312058,0.8616672317221843,2.4379888399895147
4,8638.974959558942,0.07050850496097001,6.444808261287906,-0.014973589104702431,0.2792152334480124,509.77265624999995,0.05474472739240658,1.8022007250000003,109.46179078014185,0.7998515049098116,2.6917366766482598
5,8976.55691758462,0.06876764377073293,6.9336925573668475,-0.014898870745408929,0.2590743237804786,497.02833984374996,0.04952587732490517,1.5949476416250004,111.91978413120569,0.7424704182237725,2.97189479195671
6,9279.54298469984,0.06706976459642926,7.44571696954631,-0.01482452523147511,0.2404760814595792,484.6026313476562,0.04482128532749438,1.4115286628381252,114.09510824689718,0.6892058320244606,3.2812119889294613
7,9550.179527637187,0.06541380620830439,7.981000815484784,-0.014750550702398904,0.22329594629459243,472.4875655639648,0.04057867617885916,1.2492028666117407,116.02027008928415,0.6397624299064905,3.6227231682067096
8,9790.919965599942,0.06379873357845976,8.539609153763747,-0.014676945306962164,0.20741990217629527,460.67537642486565,0.03675124673579755,1.1055445369513905,117.72403831979662,0.5938660813673017,3.999779105324913
9,10004.298976254453,0.06222353723392662,9.121552661859619,-0.01460370720318434,0.19274354540437236,449.158492014244,0.03329707699973341,0.9784069152019808,119.23187320380015,0.5512623219373836,4.416079327229707
10,10192.8388950882,0.060687232625712656,9.72678780501124,-0.014530834558276381,0.17917123863830614,437.92952971388786,0.030178606259664686,0.8658901199537529,120.56630707614327,0.5117149423454643,4.875708410602692
11,10358.982970443227,0.05918885951342677,10.355217285293657,-0.014458325548594875,0.16661534231150932,426.9812914710407,0.027362166938099144,0.7663127561590714,121.74728105316694,0.47500467889652886,5.383176058147216
12,10505.05028880088,0.0577274813650976,11.006690758294056,-0.01438617835959641,0.15499551615290016,416.30675918426465,0.024817569622194693,0.6781867892007781,122.79244302283288,0.4409279978016934,5.943461346046188
13,10633.207677451763,0.05630218477181056,11.681005803119218,-0.014314391185792157,0.14423808418271025,405.899090204658,0.02251773351639422,0.6001953084426886,123.71741136598725,0.4092959667198571,6.562061576730829
14,10745.454538260821,0.054912078876797485,12.377909130047854,-0.0142429622307027,0.13427545719863382,395.7516129495416,0.020438357217652487,0.5311728479717794,124.53600834967885,0.37993320725459045,7.245046216284833
15,10843.617248100269,0.05355629481862222,13.097098008973768,-0.014171889706813072,0.12504560735213152,385.85782262580307,0.018557625300697916,0.4700879704550248,125.26046668024593,0.35267692259855454,7.99911644569688
16,10929.350409038889,0.05223398518811389,13.83822190086184,-0.014101171835528023,0.11649158993962029,376.21137706015793,0.016855946718119918,0.41602785385269697,125.90161230279779,0.3273759949343939,8.83167091025534
17,11004.142808573542,0.05094432349870859,14.600884273750275,-0.014030806847127512,0.10856110800551673,366.806092633654,0.015315721476724492,0.36818465065963685,126.46902617875618,0.30389014758779553,9.750878312192793
18,11069.326442880916,0.04968650366986839,15.384644584369026,-0.013960792980722418,0.10120611577910266,357.63594031781264,0.01392113245483569,0.3258434158337786,126.97118745897936,0.282089167287415,10.76575755883128
19,11126.087363263761,0.048459739523254775,16.189020406192903,-0.013891128484210473,0.09438245734981604,348.6950418098673,0.012657959581427737,0.2883714230128941,127.41560019197688,0.26185218221962187,11.886266252610913
20,11175.477433974342,0.04726326429134152,17.013489684694793,-0.01382181161423242,0.08804953733019336,339.9776657646206,0.011513413912759216,0.25520870936641127,127.80890546067968,0.24306699187536304,13.123398391231712
21,11218.426348174595,0.04609633013816014,17.857493100693688,-0.01375284063612838,0.08217002056619174,331.47822412050505,0.010475989420471775,0.22585970778927397,128.15698062348167,0.22562944497359452,14.489292236504696
22,11255.753448762487,0.044958207691877944,18.720436522987804,-0.013684213823894443,0.07670955823448389,323.19126851749246,0.009535330551238196,0.19988584139350746,128.4650271425614,0.20944286201228274,15.99734941027963
23,11288.179052678744,0.04384818558891698,19.60169353190786,-0.01361592946013948,0.07163653791866233,315.11148680455517,0.008682113835800222,0.1768989696332541,128.737648311947,0.1944174992454101,17.662366385972582
24,11316.335090616962,0.04276557002932863,20.5006079960022,-0.013547985836042154,0.06692185548390306,307.2336996344412,0.0079079420179696,0.15655558812542988,128.97891804685324,0.18047005111409511,19.500679665837293
25,11340.77495699495,0.041709684343146,21.416496684757064,-0.013480381251308172,0.06253870677502,299.5528571435802,0.007205249344816083,0.13855169549100546,129.19244176224527,0.16752318837314237,21.530326068403546
26,11361.982524452027,0.04067986856744326,22.34865190104448,-0.01341311401412772,0.05846239734823147,292.0640357149907,0.006567216810422251,0.12261825050953983,129.3814102503672,0.15550512935224345,23.771219698760888
27,11380.380318589312,0.03967547903383722,23.296344117860993,-0.013346182441133135,0.05467016861436413,284.7624348221159,0.005987696279523827,0.10851715170094274,129.5486473623551,0.14434924197475962,26.245347338051587
28,11396.336876618581,0.038695887966173736,24.25882460485651,-0.013279584857356775,0.05114103892243911,277.64337395156304,0.0054611425360823855,0.09603767925533432,129.6966522064644,0.1339936743275478,28.97698416925898
29,11410.173331525233,0.03774048308814712,25.23532803113911,-0.013213319596189101,0.04785565824923234,270.70228960277393,0.00498255240712118,0.08499334614097089,129.82763649350113,0.12438101173358686,31.992931955909143
30,11422.169273990849,0.036808667240607544,26.225075031864588,-0.013147384999336974,0.044796175283925974,263.9347323627046,0.004547410205552232,0.07521911133475923,129.94355758752863,0.11545795842610204,35.32278201060311
31,11432.567949731294,0.03589985800831712,27.227274727165423,-0.013081779416782157,0.04194611580867019,257.33636405363694,0.004151638818606141,0.06656891353126192,130.04614775574296,0.10717504205928431,38.9992055335252
32,11441.580851653025,0.0350134873559214,28.24112718303106,-0.013016501206740015,0.03929027137692124,250.90295495229603,0.003791555842056598,0.058913488475166795,130.13694005461267,0.09948633941731437,43.058274169616396
33,11449.391765481925,0.03414900127290884,29.265825804808316,-0.01295154873561844,0.036814597382862614,244.63038107848863,0.003463834225777235,0.052138437300522616,130.21729123911234,0.09234922180093218,47.53981392959589
34,11456.160325138086,0.03330585942733614,30.30055965503806,-0.012886920377976962,0.03450611969799283,238.5146215515264,0.003165466954222473,0.04614251701096252,130.28840203739455,0.08572411867989091,52.48779594736678
35,11462.025130744276,0.032483534828103226,31.34451568837294,-0.012822614516486076,0.0323528491259234,232.55175601273822,0.002893735337018719,0.040836127554701826,130.3513350938743,0.07957429830090723,57.95076790776642
36,11467.106478214737,0.03168151349556664,32.396880897323044,-0.012758629541886765,0.030343702994335833,226.73796211241978,0.002646180530723168,0.03613997288591112,130.40703084885888,0.07386566403472558,63.98233037766354
37,11471.508745191126,0.03089929414028553,33.45684436354579,-0.012694963852950235,0.028468433264582364,221.06951305960928,0.00242057795360431,0.03198387600403134,130.45632159202023,0.06856656533317804,70.64166271397852
38,11475.322473890456,0.030136387849699454,34.52359921032701,-0.012631615856437836,0.02671756059519818,215.54277523311904,0.0022149142915954,0.028305730263567735,130.49994389971803,0.06364762224812291,77.9941037086329
39,11478.626187350132,0.029392317782542088,35.59634445278772,-0.012568583967061198,0.025082313846178605,210.15420585229106,0.002027366825877534,0.02505057128325745,130.5385496420306,0.059081562539337815,86.11179266749153
40,11481.487971688384,0.028666618870799923,36.67428674319168,-0.012505866607442554,0.023554574556762988,204.90035070598378,0.0018562848413119148,0.02216975558568284,130.5727157239772,0.05484307046823938,95.07437721331593
41,11483.96685339781,0.027958837529029616,37.756642009519815,-0.012443462208075266,0.022126825971108124,199.77784193833418,0.0017001729005588714,0.019620233693329315,130.60295270649996,0.05090864643909232,104.96979475741763
42,11486.113997381164,0.027268531370852316,38.84263698621652,-0.012381369207284554,0.02079210622403429,194.7833958898758,0.001557675791546316,0.017363906818596442,130.6297124360326,0.0472564767095125,115.89513530750882
43,11487.973748430022,0.026595268932447805,39.93151063669886,-0.012319586051188406,0.01954396533335181,189.91381099262892,0.001427564976294103,0.015367057534457853,130.65339479666898,0.04386631244789612,127.95759407728703
44,11489.584536133172,0.025938629402875522,41.02251546785188,-0.012258111193658702,0.01837642567645594,185.1659657178132,0.001308726387239455,0.0135998459179952,130.6743536858322,0.04071935746722952,141.27552324439063
45,11490.979660770285,0.025298202361054047,42.114918737311214,-0.012196943096282511,0.01728394565721001,180.53681657486788,0.0012001494333868108,0.01203586363742575,130.69290230274163,0.03779816401283904,155.9795931761671
46,11492.187975579365,0.02467358751923458,43.20800355485918,-0.012136080228323604,0.016261386294890445,176.02339616049616,0.00110091709304014,0.01065173931912179,130.70931782870647,0.03508653602629371,172.21407451675182
47,11493.234478863882,0.02406439447280804,44.30106987973249,-0.012075521066684134,0.015303980490384186,171.62281125648374,0.0010101969827592749,0.009426789297422784,130.72384556918536,0.0325694393491241,190.13825371480002
