PERIOD,L,GA,AL,GSIG,SIGMA,PBACKTIME,COST1,ETREE,CUMETREE,RR,CPRICEBASE
0,0,0,0,0,0,0,0,0,0,0,0
1,7403,0.076,5.115,-0.0152,0.350320027,550,0.07410616,2.6,100,1,2
2,7853.090848,0.074123553,5.535714286,-0.015124152,0.324682279,536.25,0.06696572,2.301,103.5460993,0.928260325,2.208161606
3,8264.92066,0.072293436,5.978890926,-0.015048682,0.301034941,522.84375,0.060536245,2.036385,106.6843972,0.861667232,2.43798884
4,8638.97496,0.070508505,6.444808261,-0.014973589,0.279215233,509.7726562,0.054744727,1.802200725,109.4617908,0.799851505,2.691736677
5,8976.556918,0.068767644,6.933692557,-0.014898871,0.259074324,497.0283398,0.049525877,1.594947642,111.9197841,0.742470418,2.971894792
6,9279.542985,0.067069765,7.44571697,-0.014824525,0.240476081,484.6026313,0.044821285,1.411528663,114.0951082,0.689205832,3.281211989
7,9550.179528,0.065413806,7.981000815,-0.014750551,0.223295946,472.4875656,0.040578676,1.249202867,116.0202701,0.63976243,3.622723168
8,9790.919966,0.063798734,8.539609154,-0.014676945,0.207419902,460.6753764,0.036751247,1.105544537,117.7240383,0.593866081,3.999779105
9,10004.29898,0.062223537,9.121552662,-0.014603707,0.192743545,449.158492,0.033297077,0.978406915,119.2318732,0.551262322,4.416079327
10,10192.8389,0.060687233,9.726787805,-0.014530835,0.179171239,437.9295297,0.030178606,0.86589012,120.5663071,0.511714942,4.875708411
11,10358.98297,0.05918886,10.35521729,-0.014458326,0.166615342,426.9812915,0.027362167,0.766312756,121.7472811,0.475004679,5.383176058
12,10505.05029,0.057727481,11.00669076,-0.014386178,0.154995516,416.3067592,0.02481757,0.678186789,122.792443,0.440927998,5.943461346
13,10633.20768,0.056302185,11.6810058,-0.014314391,0.144238084,405.8990902,0.022517734,0.600195308,123.7174114,0.409295967,6.562061577
14,10745.45454,0.054912079,12.37790913,-0.014242962,0.134275457,395.7516129,0.020438357,0.531172848,124.5360083,0.379933207,7.245046216
15,10843.61725,0.053556295,13.09709801,-0.01417189,0.125045607,385.8578226,0.018557625,0.47008797,125.2604667,0.352676923,7.999116446
16,10929.35041,0.052233985,13.8382219,-0.014101172,0.11649159,376.2113771,0.016855947,0.416027854,125.9016123,0.327375995,8.83167091
