IPERIOD,K,YGROSS,EIND,E,CCA,CCATOT,MAT,ML,MU,FORC,TATM,TOCEAN,DAMFRAC,DAMAGES,ABATECOST,MCABATE,CPRICE,YNET,Y,I,C,CPC,RI,PERIODU,CEMUTOTPER
1,268.4869680217603,125.42354311369755,33.10162511767417,35.40262511767417,48.74575098730604,152.2918502780862,891.3318502780861,1740.6706976744188,471.2893023255814,2.738731090208907,1.0163416484434145,0.02788,0.002437762817411198,0.30575284983054224,0.10762446216620304,36.71658765491121,36.71658765491121,125.11779026386701,125.01016580170081,32.14969389441782,92.86047190728299,11.82470363688744,0.0497985940708391,0.4910294882520993,3579.4638797438724
2,319.28733921925834,147.89116228878538,35.105993793076514,37.14237879307652,93.89253920017315,200.57693636329373,925.0298175857372,1741.4194378150355,485.12768096252125,2.9652293909914245,1.1843095763557734,0.05259154121108536,0.0033101104474492597,0.48953608137752247,0.15760372248576585,43.525778530290786,43.525778530290786,147.40162620740787,147.2440224849221,37.466981286269885,109.77704119865223,13.282286147679784,0.04867209128991693,0.5282937427422928,3762.302691101195
3,375.8708873669293,172.68124001624494,36.75453715676942,38.55673788176942,141.77305446623495,251.2348452463768,959.769173827186,1742.2639496147417,500.2017218044492,3.1904406910473058,1.353598085772379,0.08088449208970257,0.004324057555623691,0.746683620606712,0.22555730722799505,51.17045421620859,51.17045421620859,171.93455639563823,171.70899908841022,43.2957707987773,128.4132282896329,14.864405660482316,0.04758451406093438,0.5625607963639768,3887.2372279037754
4,438.4268542751846,199.85295656507083,38.00947599709967,39.60442363872467,191.9019922141474,303.8217763453531,995.223341540572,1743.212742392356,516.3856924124253,3.412505359364563,1.5237533296782582,0.11270233193176948,0.005479505134905166,1.0950953017242846,0.3160808427207281,59.69293719692212,59.69293719692212,198.75786126334654,198.4417804206258,49.65028016566641,148.7915002549594,16.575564731671715,0.04653425360629566,0.5941251977215903,3959.7422347487654
5,507.13807400928584,229.4631758879052,38.83959551015869,40.25112417299681,243.74252139731664,357.83762964421385,1031.0239895673994,1744.2734328724819,533.5402072043325,3.629610685690106,1.6941969621722601,0.1479786068754317,0.006773915898055567,1.5543642551654018,0.4345781642465074,69.14609718016378,69.14609718016378,227.90881163273983,227.4742334684933,56.546095834893976,170.92813763359933,18.419887478879787,0.045525453041257484,0.62324770187764,3985.990115557885
6,582.1904404962131,261.5682044708724,39.22201540347695,40.47121827008869,296.7152375868402,412.73550767612437,1066.7728694632713,1745.452650921262,551.5099872915914,3.8400508860696347,1.8642527561451434,0.18663406575785244,0.008202034479555642,2.145391431825556,0.5871899331768019,79.57704058561356,79.57704058561356,259.42281303904684,258.83562310587007,63.99797417983449,194.83764892603557,20.401464533959437,0.044560616340963574,0.6501644623492147,3972.4047790553245
7,663.7675041077814,296.2233168765586,39.1397164288586,40.24526096580999,350.2095302811623,467.9335686009589,1102.0541435616651,1746.755929739093,570.1234953002012,4.042270476279257,2.033174142553646,0.22857453301753472,0.00975576114171906,2.8898839240554626,0.7809251484381712,91.03775037987863,91.03775037987863,293.33343295250313,292.552507804065,72.01798361721583,220.53452418684915,22.524392494442765,0.04362822975703277,0.6750883560411673,3925.298055026111
8,752.037991586683,333.4812091514486,38.58403731570591,39.56244423090789,403.59157669258974,522.8234498963899,1136.4417327085357,1748.187593657972,589.1941235298825,4.234869159775726,2.2001686918792838,0.2736895232559375,0.011424151763632887,3.809739943665949,1.023369978235752,103.56256816160746,103.56256816160746,329.67146920778265,328.6480992295469,80.62384756861329,248.02425166093363,24.791767244224477,0.0427396191896973,0.6982007082090814,3850.5720763228483
9,847.190151495087,373.3965690513981,37.54921556565691,38.41510568561066,456.2157410620741,576.7820481382173,1169.5093712371959,1749.7506544203452,608.5220224806767,4.416612033845484,2.3644204707895056,0.32185150247152117,0.013193542623944784,4.926423549414363,1.3231662974334542,117.20322751044087,117.20322751044087,368.4701455019837,367.1469792045503,89.82685919873146,277.3201200058188,27.207348498312463,0.041883837279705856,0.719672904814159,3753.690064408043
10,949.3916085499912,416.02058102328687,36.03631590914008,36.80262866529915,507.4285282492766,629.1758093024436,1200.8323242591714,1751.4467204096059,627.8967646336671,4.586396536175032,2.5251062045091954,0.37291572667947076,0.01504774077195997,6.26016985903859,1.6894826999547,131.99442291933744,131.99442291933744,409.7604111642483,408.0709284642936,99.64384556420447,308.42708290008915,29.773876815910295,0.04106602889162489,0.7396508417035919,3639.500324656501
11,1058.8254787537066,461.40550825087723,34.04731458149957,34.72550137070035,556.5778952830192,679.3703383058521,1229.994740219678,1753.275924660046,647.0996734261288,4.743245441780322,2.6814086621120947,0.4267204886252139,0.016968287695269466,7.829261408182914,2.132694078212212,147.99121915467666,147.99121915467666,453.57624684269433,451.4435527644821,110.08818214638295,341.35537061809913,32.494406141206944,0.040282791640876205,0.7582696207102001,3512.282734564682
12,1175.666767681191,509.6012911658655,31.592076352400763,32.19227166084345,603.0144945485669,726.7319059145541,1256.5884749935399,1755.2368692751083,665.9065616459065,4.8862625187866735,2.832523871547953,0.4830876929623859,0.01893473189961805,9.64916382392486,2.6633203795355564,165.21902608489862,165.21902608489862,499.9521273419407,497.28880696240515,121.17522943703264,376.11357752537253,35.37160083151012,0.03953546526242638,0.7756488084248171,3375.7236851198713
13,1300.0956168332298,560.6569783620411,28.679899410110803,29.21107225808258,646.1024328360747,770.6384411857535,1280.2220793481122,1757.3265890958312,684.0897727418107,5.014634408537251,2.977667603817661,0.5418235974270251,0.020924950286827497,11.731719400188629,3.2930996382284023,183.72502986378979,183.72502986378979,548.9252589618525,545.632159323624,132.9179732308911,412.7141860927329,38.40825761471527,0.03882439404843323,0.7918973845812578,3232.964631763332
14,1432.2833269383095,614.6185789629353,25.3193360428545,25.789424013309524,685.21849858909,810.478965269336,1300.517549367316,1759.5405297116974,701.4208861903231,5.127581393411485,3.1160760846667506,0.602719697586791,0.022915435190419678,14.084252213052984,4.035186240827617,203.57576593154943,203.57576593154943,600.5343267498823,596.4991405090547,145.3252614854486,451.17387902360605,41.607322418416125,0.038151169149952535,0.80711423438107,3086.641769451523
15,1572.3752891510455,671.5265663844164,21.536486181466348,21.952514035319044,719.7511445831633,845.652756885961,1317.1077287531664,1761.8725444412662,717.6724836915291,5.224314872439001,3.247002349171273,0.66555360726379,0.024881537243036086,16.708613271182,4.900237136326037,224.73904947589412,224.73904947589412,654.8179531132344,649.9177159769083,158.4008254254736,491.5168905514347,44.97219616501051,0.03751690083662591,0.8213899848572925,2938.9390860989492
