IPERIOD,K,YGROSS,EIND,E,CCA,CCATOT,MAT,ML,MU,FORC,TATM,TOCEAN,DAMFRAC,DAMAGES,ABATECOST,MCABATE,CPRICE,YNET,Y,I,C,CPC,RI,PERIODU,CEMUTOTPER
1,236.67649833350063,120.76710134754657,0.392109376744964,2.6931093767449643,48.74576606330527,152.29186535408542,891.3318653540854,1740.6706976744188,471.2893023255814,2.7387311800391196,1.0163416574713509,0.02788,0.0024377628607194063,0.2944015544617856,7.878666023639417,527.6957744406999,527.6957744406999,120.47269979308479,112.59403376944537,22.518806753889077,90.0752270155563,11.470035017136006,0.04088530632800421,0.48094039815194256,3505.9173118553645
2,252.3491392703942,137.81238893015632,0.4148634438259583,2.4512484438259583,49.28055790283741,155.96495506595798,880.4178344792816,1741.4194378150355,485.12768277164116,2.702710364123182,1.157926422026166,0.05259154143678377,0.0031642728932301124,0.43607600664297924,8.127467603028972,514.5033800796823,514.5033800796823,137.37631292351335,129.24884532048438,25.849769064096876,103.3990762563875,12.510595141272244,0.04375574213094729,0.5093488388373164,3627.384449264067
3,278.2584885682595,157.78585896556098,0.44056215445864305,2.242762879458643,49.84638365819196,159.30817443833382,873.1959395373854,1742.2639496274055,494.8482852735431,2.688377431189758,1.2801396137867413,0.08022491345151833,0.003867467536655119,0.6102316872925502,8.415150391054393,501.64079557769026,501.64079557769026,157.17562727826842,148.76047688721403,29.752095377442807,119.00838150977123,13.775752570979455,0.04536562722799623,0.5395918835716252,3728.524403497973
4,313.0693318018856,180.64818026758846,0.4680130514499952,2.0629606930749955,50.44725948260364,162.36704361380933,868.4615598819892,1743.1752683492848,501.7302153825357,2.6889151832348235,1.386984806994196,0.11022278095989892,0.004539995377405235,0.8201419033515193,8.716001065328127,489.099775688248,489.099775688248,179.82803836423693,171.1120372989088,34.22240745978176,136.88962983912705,15.249681040953153,0.04607092630413576,0.5701132972392041,3799.7070488295103
5,355.97634703460426,206.34857671570455,0.4962189714335403,1.9077476342716655,51.08557515561236,165.18068340250954,865.3989346998277,1744.1334253940322,506.64832330865,2.699564655761701,1.4814691552226553,0.14214183161075633,0.005179612024587662,1.068805569213213,9.010259315407259,476.87228129604176,476.87228129604176,205.27977114649136,196.2695118310841,39.25390236621682,157.01560946486728,16.920618798119204,0.046168098351624776,0.599921682595323,3836.808205998462
6,406.4699849915476,234.84102897060117,0.5243904979278623,1.773593364539603,51.76236044125549,167.78263053053965,863.4560810323738,1745.1246053827783,510.2019441153879,2.7170396334366416,1.565880141625699,0.1756250147010538,0.0057866742583330185,1.3589485371446164,9.283748253992194,464.95047426364073,464.95047426364073,233.48208043345656,224.19833217946436,44.83966643589287,179.3586657435715,18.780659067667465,0.045875704593090115,0.6284530945126808,3839.751663808077
7,464.21479361712335,266.09097041903465,0.5519256305431169,1.6574701674945076,52.47756843079158,170.2016067505882,862.2599085751536,1746.1392085232346,512.8024896522006,2.739088813677157,1.6419826046643924,0.21038139287416993,0.006362812222688291,1.6930868789292222,9.526946356593305,453.3267124070497,453.3267124070497,264.3978835401054,254.8709371835121,50.97418743670242,203.8967497468097,20.825085943220234,0.04534429272376575,0.6554305962636398,3810.9981037228563
8,528.9851306664873,300.07683643097795,0.5783787334743467,1.5567856486763274,53.23033115657324,172.4622043603734,861.5586051277518,1747.1705289708707,514.7330702617518,2.764179220822418,1.7111585121637216,0.24617142316892549,0.006910229750850854,2.0735998826465494,9.733971917788416,441.99354459687345,441.99354459687345,298.0032365483314,288.269264630543,57.6538529261086,230.6154117044344,23.051631328872517,0.04467344719736351,0.6807555420922405,3754.362105856583
9,600.6296944377971,336.7891512225665,0.603429293844911,1.4693194137986638,54.0191728552562,174.58547993139948,861.182529854751,1748.2138524783968,516.1890975982526,2.791272200390961,1.7745061750691544,0.2827961003937954,0.007431338310246203,2.50279412195556,9.901677524066221,430.94370598195155,430.94370598195155,334.2863571006109,324.3846795765447,64.87693591530895,259.5077436612358,25.45981019932428,0.04392735572010595,0.7044334088220323,3674.2034750011453
10,679.0505078451196,376.22861436914184,0.6268545937049945,1.3931673498640658,54.84218062100212,176.58946167416906,861.017671144208,1749.265839587023,517.3059509429388,2.8196671686736083,1.8329109438722462,0.32008885226067935,0.007928567566473291,2.982953989466365,10.028911923967884,420.1701133324028,420.1701133324028,373.2456603796755,363.2167484557076,72.64334969114152,290.5733987645661,28.050379037560425,0.04314661644078448,0.726526631448129,3574.921790039273
11,764.1892828331723,418.40391797750743,0.6485073122731952,1.3266941014739735,55.6971377864481,178.489580809281,860.9876361268309,1750.324103385624,518.1778412968268,2.8488936659194923,1.8870959221716752,0.35790940455096854,0.00840426920596564,3.5163791635137387,10.115945886966484,409.66586049909273,409.66586049909273,414.88753881399373,404.77159292702726,80.95431858540546,323.8172743416218,30.824914249752208,0.042356471156465,0.7471259295249316,3460.6654824945267
12,856.0177225471873,463.32962954843885,0.6682977811115174,1.2684930895542061,56.581626755724145,180.2990381217114,861.0414339982196,1751.3869199371834,518.8706841863092,2.8786372718667064,1.9376586795491502,0.3961390674914862,0.00886066993389989,4.105410918024826,10.16403741423739,399.42421398661537,399.42421398661537,459.22421863041404,449.06018121617666,89.81203624323534,359.2481449729413,33.785491252535635,0.04157230216275953,0.7663334681663578,3335.1821224901396
13,954.5300862030654,511.02427451118984,0.6861801809959024,1.2173530289676817,57.493107635581644,182.0291159852605,861.145193882499,1752.4530292391378,519.4308928636246,2.9086889997881795,1.985098130659166,0.4346770577929278,0.009299850428497776,4.752449318285654,10.175107861987753,389.43860863695,389.43860863695,506.2718251929042,496.0967173309165,99.2193434661833,396.87737386473316,36.934442600970584,0.04080321736975342,0.7842533055232326,3201.757258537739
14,1059.7371879329646,561.5086561320772,0.7021419093951483,1.1722298798501731,58.4289780406497,183.68944472089564,861.2765543535047,1753.5214980277399,519.8913923396522,2.9389108501509846,2.0298344743200216,0.4734375846145838,0.00972373806380577,5.4599630927879055,10.151503371672465,379.70264342102627,379.70264342102627,556.0486930392893,545.8971896676169,109.17943793352339,436.7177517340935,40.27417620357299,0.040054359442712635,0.8009862159238599,3063.2064279245587
15,1171.6614017701534,614.8044078021089,0.7161954296675443,1.1322232835202413,59.38661839716245,185.28823069996025,861.4208667087206,1754.5916248816582,520.2757391095826,2.9692124309527714,2.0722242011973857,0.5123475068572197,0.010134107010466418,6.230493659173006,10.09582068271184,370.21007733550056,370.21007733550056,608.5739141429359,598.478093460224,119.69561869204482,478.7824747681792,43.80703855667509,0.03932838343043911,0.8166270906211087,2921.8974173523943
